name,address,rate,price,rank,suggested duration,description,attraction type,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible
Tower of London,"St Katharine's & Wapping, London EC3N 4AB England",4.5,£28.90,8,3,"Discover London’s castle – a secure fortress, royal palace and infamous prison where you can explore 1000 years of history. Prepare to be dazzled by the breathtaking, world famous Crown Jewels. Take a Yeoman Warder tour and hear captivating stories...","['Sights & Landmarks', 'Points of Interest & Landmarks', 'Historic Sites']",43807,16487,3893,723,353
Tower Bridge,"Tower Bridge Road, London SE1 2UP England",4.5,£9.80,6,2,"An iconic London landmark and one of Britain's best loved historic sites, Tower Bridge is open to the public 363 days a year. Within the Bridge's iconic structure and magnificent Victorian Engine rooms, the Tower Bridge Exhibition is the best way of...","['Sights & Landmarks', 'Observation Decks & Towers', 'Points of Interest & Landmarks', 'Bridges', 'More']",25397,11247,1963,217,62
Churchill War Rooms,"King Charles Street, Clive Steps Westminster, London SW1A 2AQ England",4.5,£23.00,2,2,Discover the secrets of the Second World War in the underground nerve centre where Churchill and his war cabinet lived and wor,"['Sights & Landmarks', 'Museums', 'Military Museums', 'Historic Sites', 'History Museums', 'More']",16697,4987,931,137,81
National Gallery,"Trafalgar Square, London WC2N 5DN England",4.5,0,1,3,"The National Gallery houses the national collection of paintings in the Western European tradition from the 13th to the 19th centuries. It is on show 361 days a year, free of cha","['Museums', 'Art Museums']",29259,8547,1483,236,121
The British Museum,"Great Russell Street, London WC1B 3DG England",4.5,0,4,3,"A museum of the world, for the world. Discover over two million years of human history and culture. Some of the world-famous objects include the Rosetta Stone, the Parthenon sculptures and Egyptian mumm","['Museums', 'Art Museums', 'Speciality Museums', 'History Museums', 'More']",52669,15372,3417,695,369
Westminster Abbey,"20 Dean's Yard Broad Sanctuary, London SW1P 3PA England",4.5,£22.00,11,2,"Westminster Abbey was initially built by Henry III in 1245 and it is one of the most important Gothic buildings of England. At first home of Benedictine monks, the coronation church since 1066 and the final resting place of 17 monarchs. It contains...","['Sights & Landmarks', 'Historic Sites', 'Architectural Buildings', 'Sacred & Religious Sites', 'More']",16404,5645,1515,340,191
V&A  - Victoria and Albert Museum,"Cromwell Road, London SW7 2RL England",4.5,0,5,N/A,"The world's greatest museum of art and design.The V&A's collections are unrivalled in their diversity. Explore historical and contemporary art and design, including works of art from many of the world's richest cultures. Admission f","['Museums', 'Art Museums']",23267,6519,1387,297,153
St. Paul's Cathedral,"St Paul's Churchyard, London EC4M 8AD England",4.5,£17.00,13,2,"Rebuilt by Christopher Wren after the great Fire of 1666, St. Paul's has been the site of many historic state occasions; including Sir Winston Churchill's state funeral and the Royal Wedding of Prince Charles and Lady Diana Spencer. A busy working...","['Sights & Landmarks', 'Churches & Cathedrals']",11104,4269,1048,331,226
Natural History Museum,"Cromwell Road South Kensington, London SW7 5BD England",4.5,0,12,N/A,"A center of scientific excellence in the discovery of taxonomy and biodiversity, this world-famous museum promotes the discovery and enjoyment of the natural world through such exciting exhibits as the Life and Earth Galleries, wildlife garden and...","['Museums', 'History Museums', 'Natural History Museums']",24449,8652,2742,654,253
 Borough Market,"8 Southwark Street, London SE1 1TL England",4.5,0,10,N/A,An amazing food market dating back to the 13th cent,"['Shopping', 'Flea & Street Markets']",9068,3432,481,70,59
 Hyde Park,London W2 2UH England,4.5,0,7,3,"Once the hunting ground for Henry VIII, this large royal park is best known for its famous Speakers' Corner, where people speak their minds, Rotton Row, a famous horse-riding area and Serpentine Lake, home to waterfowl and oars",['Nature & Parks'],14998,5807,882,141,115
 Up at The O2,"The O2, London SE10 0DX England",4.5,0,25,3,"Get ready for a breathtaking new attraction, combining an exhilarating active outdoor challenge with a completely unique perspective on the Capital.Prepare yourself for an unforgettable 90 minute experience which will take you on an uplifting...","['Sights & Landmarks', 'Observation Decks & Towers']",4944,1075,174,39,32
 St. James's Park,"Horse Guards Road The Storeyard, London SW1A 2BJ England",4.5,0,3,2,"This 90-acre park, the oldest Royal Park in London, features a large lake that is a wildlife sanctuary for ducks, geese, swans and even pelic",['Nature & Parks'],12928,5191,526,34,10
