,Name,Url,Rate,Review,Price
0,Tower of London,https://www.tripadvisor.com/Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html,45,65262,£28.90
1,Tower Bridge,https://www.tripadvisor.com/Attraction_Review-g186338-d187552-Reviews-Tower_Bridge-London_England.html,45,38886,£9.80
2,Churchill War Rooms,https://www.tripadvisor.com/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html,45,22834,£23.00
3,National Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html,45,39646,0
4,The British Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-The_British_Museum-London_England.html,45,72522,0
5,Westminster Abbey,https://www.tripadvisor.com/Attraction_Review-g186338-d189032-Reviews-Westminster_Abbey-London_England.html,45,24093,£22.00
6,V&A  - Victoria and Albert Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,45,31623,0
7,St. Paul's Cathedral,https://www.tripadvisor.com/Attraction_Review-g186338-d188159-Reviews-St_Paul_s_Cathedral-London_England.html,45,16978,£17.00
8,Natural History Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,45,36750,0
9, Borough Market,https://www.tripadvisor.com/Attraction_Review-g186338-d260500-Reviews-Borough_Market-London_England.html,45,13110,0
10, Hyde Park,https://www.tripadvisor.com/Attraction_Review-g186338-d189030-Reviews-Hyde_Park-London_England.html,45,21943,0
11, Up at The O2,https://www.tripadvisor.com/Attraction_Review-g186338-d3263267-Reviews-Up_at_The_O2-London_England.html,45,6264,0
12, St. James's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d188126-Reviews-St_James_s_Park-London_England.html,45,18689,0
13, Covent Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d189047-Reviews-Covent_Garden-London_England.html,45,24672,0
14, Houses of Parliament,https://www.tripadvisor.com/Attraction_Review-g186338-d211708-Reviews-Houses_of_Parliament-London_England.html,45,16477,0
15, Camden Market,https://www.tripadvisor.com/Attraction_Review-g186338-d187577-Reviews-Camden_Market-London_England.html,45,28729,0
16, Chelsea FC Stadium Tour & Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d548817-Reviews-Chelsea_FC_Stadium_Tour_Museum-London_England.html,45,2627,£24.00
17, The View from The Shard,https://www.tripadvisor.com/Attraction_Review-g186338-d3539289-Reviews-The_View_from_The_Shard-London_England.html,45,18508,£28.85
18, Sky Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d7398968-Reviews-Sky_Garden-London_England.html,45,15133,0
19, Regent's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d187675-Reviews-Regent_s_Park-London_England.html,45,6355,0
20, Emirates Stadium Tour and Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d1775127-Reviews-Emirates_Stadium_Tour_and_Museum-London_England.html,45,2570,£25.00
21, Buckingham Palace,https://www.tripadvisor.com/Attraction_Review-g186338-d187549-Reviews-Buckingham_Palace-London_England.html,45,29095,£26.50
22, Wallace Collection,https://www.tripadvisor.com/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,45,6467,0
23, Greenwich,https://www.tripadvisor.com/Attraction_Review-g186338-d187601-Reviews-Greenwich-London_England.html,45,5870,0
24, Imperial War Museums,https://www.tripadvisor.com/Attraction_Review-g186338-d187674-Reviews-Imperial_War_Museums-London_England.html,45,10385,0
25, HMS Belfast,https://www.tripadvisor.com/Attraction_Review-g186338-d187551-Reviews-HMS_Belfast-London_England.html,45,3806,0
26, Highgate Cemetery,https://www.tripadvisor.com/Attraction_Review-g186338-d194290-Reviews-Highgate_Cemetery-London_England.html,45,1772,0
27, Shakespeare's Globe Theatre,https://www.tripadvisor.com/Attraction_Review-g186338-d187726-Reviews-Shakespeare_s_Globe_Theatre-London_England.html,45,8552,0
28, School Of Rock The Musical,https://www.tripadvisor.com/Attraction_Review-g186338-d11978522-Reviews-School_Of_Rock_The_Musical-London_England.html,50,952,0
29, Royal Air Force Museum London,https://www.tripadvisor.com/Attraction_Review-g186338-d215615-Reviews-Royal_Air_Force_Museum_London-London_England.html,45,3620,0
30,Emirates Stadium,https://www.tripadvisor.com/Attraction_Review-g186338-d1056442-Reviews-Emirates_Stadium-London_England.html,45,1921,£299.00
31,Kensington Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-Kensington_Gardens-London_England.html,45,4407,0
32,Tate Britain,https://www.tripadvisor.com/Attraction_Review-g186338-d188865-Reviews-Tate_Britain-London_England.html,45,3971,0
33,Museum of London,https://www.tripadvisor.com/Attraction_Review-g186338-d187560-Reviews-Museum_of_London-London_England.html,45,5711,0
34,National Portrait Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188863-Reviews-National_Portrait_Gallery-London_England.html,45,5729,0
35,British Library,https://www.tripadvisor.com/Attraction_Review-g186338-d187728-Reviews-British_Library-London_England.html,45,3920,0
36,Hampstead Heath,https://www.tripadvisor.com/Attraction_Review-g186338-d211768-Reviews-Hampstead_Heath-London_England.html,45,1710,0
37,Old Royal Naval College,https://www.tripadvisor.com/Attraction_Review-g186338-d211646-Reviews-Old_Royal_Naval_College-London_England.html,45,2595,£12.00
38,Tottenham Hotspur Stadium,https://www.tripadvisor.com/Attraction_Review-g186338-d14985376-Reviews-Tottenham_Hotspur_Stadium-London_England.html,45,547,0
39,Trafalgar Square,https://www.tripadvisor.com/Attraction_Review-g186338-d188964-Reviews-Trafalgar_Square-London_England.html,45,8070,0
40,BAPS Shri Swaminarayan Mandir,https://www.tripadvisor.com/Attraction_Review-g186338-d215621-Reviews-BAPS_Shri_Swaminarayan_Mandir-London_England.html,45,610,0
41,London Underground,https://www.tripadvisor.com/Attraction_Review-g186338-d187536-Reviews-London_Underground-London_England.html,45,44609,0
42,Notting Hill,https://www.tripadvisor.com/Attraction_Review-g186338-d187531-Reviews-Notting_Hill-London_England.html,45,2856,0
43,London Eye,https://www.tripadvisor.com/Attraction_Review-g186338-d553603-Reviews-London_Eye-London_England.html,45,86327,£28.00
44,Holland Park,https://www.tripadvisor.com/Attraction_Review-g186338-d187683-Reviews-Holland_Park-London_England.html,45,1577,0
45,Wimbledon Lawn Tennis Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d548466-Reviews-Wimbledon_Lawn_Tennis_Museum-London_England.html,45,1295,0
46,Greenwich Park,https://www.tripadvisor.com/Attraction_Review-g186338-d211600-Reviews-Greenwich_Park-London_England.html,45,3096,0
47,Kinky Boots at Adelphi Theatre,https://www.tripadvisor.com/Attraction_Review-g186338-d2389215-Reviews-Kinky_Boots_at_Adelphi_Theatre-London_England.html,50,2686,0
48,Emirates Air Line Cable Car - Royal Docks,https://www.tripadvisor.com/Attraction_Review-g186338-d3313609-Reviews-Emirates_Air_Line_Cable_Car_Royal_Docks-London_England.html,45,3661,0
49,Cutty Sark,https://www.tripadvisor.com/Attraction_Review-g186338-d211885-Reviews-Cutty_Sark-London_England.html,45,3164,£15.00
50,Primrose Hill,https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-Primrose_Hill-London_England.html,45,2063,0
