hotel_id,address,rank,Description,Amenities,score,Location,Cleanliness,Service,Value,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible
1,"81 Kensington Gardens Square Bayswater, London W2 4DJ England",423,"Charming , newly renovated Hotel in Central London situated in a quiet and charming street The London House Hotel overlooks a leafy Victorian park in the exclusive Bayswater area and offers the excellent combination of both comfort and affordability in a prime location in central London. All room are newly renovated with contemporary décor. All rooms have air condition, TV, safe, mini fridge.","['Free High Speed Internet (WiFi)', 'Wifi', 'Breakfast available', 'Taxi service', '24-hour security', 'Baggage storage', '24-hour check-in', '24-hour front desk', 'Breakfast buffet', 'Complimentary instant cofffee', 'Vending machine', 'Non-smoking hotel', 'Shared lounge / TV area', 'Express check-in / check-out', 'Air conditioning', 'Housekeeping', 'Interconnected rooms available', 'Safe', 'Coffee / tea maker', 'Refrigerator', 'Flatscreen TV', 'Walk-in shower', 'Telephone', 'Wardrobe / wardrobe', 'Clothes rack', 'Iron', 'Private bathrooms', 'Electric kettle', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms']",4.0,4.5,4.5,4.0,4.0,931,1488,348,101,64
2,"200 Westminster Bridge Road, London SE1 7UT England",348,"Situated opposite Big Ben and the Houses of Parliament, Park Plaza Westminster Bridge London places guests at the heart of central London. The London Eye, the London Aquarium and the city’s finest theatres, restaurants and bars are just steps away. The contemporary guestrooms and suites include large family-friendly Studio Rooms with bedroom, bathroom, kitchenette and living space with pull-out sofa bed. Enhanced amenities and extra space are on offer in the chic Penthouses and Suites. Dining options include Brasserie Joël, Ichi Sushi & Sashimi, 1WB Lounge & Patisserie and Primo Bar. The hotel also boasts a fitness centre with a 15-metre pool and Mandara Spa.","['Free internet', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Evening entertainment', 'Nightclub / DJ', 'Taxi service', 'Business Centre with Internet Access', 'Wifi', 'Paid wifi', 'Indoor pool', 'Heated pool', 'Fitness / spa changing rooms', 'Sauna', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Special diet menus', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Spa', 'Full body massage', 'Massage', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Minibar', 'Refrigerator', 'Flatscreen TV', 'On-demand films', 'VIP room facilities', 'Iron', 'Laptop safe', 'Wake-up service / alarm clock', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.5,5.0,4.5,4.5,4.0,12681,5977,1903,910,725
3,"St Katharine's Way, London E1W 1LD England",402,"The Tower Hotel is nestled between the River Thames, St Katharine Docks and alongside the World Heritage Site, the Tower of London, boasting unparalleled views of the iconic Tower Bridge. Our location and excellent choice of transport connections put you at the centre of this vibrant city, making it quick, convenient and most importantly, easy to experience the very best of what London has to offer.","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Car hire', 'Business Centre with Internet Access', 'Conference facilities', '24-hour security', 'Parking', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'Flatscreen TV', 'Non-smoking rooms', 'Suites']",4.0,4.5,4.0,4.0,4.0,4286,3620,1496,606,406
4,"1 - 15 Templeton Place Earls Court, Kensington, London SW5 9NB England",109,"London addresses don’t get smarter than the Royal Borough of Kensington and Chelsea - an area awash with luxe shopping streets, unmissable museums, and some of the city’s most beautiful green spaces. Tucked away on a magnificent Victorian row near Exhibition Road, the K+K Hotel George is a charming hidden gem that combines traditional townhouse elegance with all the stylish, modern flair of a boutique hotel. Kick-start your days here with generous continental buffet breakfast overlooking the tranquil award-winning landscaped private garden, a rare luxury and tranquil oasis in the heart of London. Its restaurant offers a variety of contemporary dishes. In the evening, you can relax with bubbles and canapés at the chic Bistro Bar. Between dawn and dusk, feel free to enjoy a high end gym located in our Fitness Center or just indulge yourself with your electronic devices using our free high speed Wi-Fi and LAN internet.","['Car park', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Board games / puzzles', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Kid-friendly buffet', 'Outdoor dining area', 'Special diet menus', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'ATM on site', 'Umbrella', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Soundproof rooms', 'Air conditioning', 'Desk', 'Fireplace', 'Room service', 'Minibar', 'Flatscreen TV', 'Bath / shower', 'Safe', 'Telephone', 'Iron', 'Laptop safe', 'Wake-up service / alarm clock', 'Refrigerator', 'Electric kettle', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms']",4.5,4.5,4.5,4.5,4.5,2843,1570,330,79,40
5,"81 Kensington Gardens Square Bayswater, London W2 4DJ England",423,"Charming , newly renovated Hotel in Central London situated in a quiet and charming street The London House Hotel overlooks a leafy Victorian park in the exclusive Bayswater area and offers the excellent combination of both comfort and affordability in a prime location in central London. All room are newly renovated with contemporary décor. All rooms have air condition, TV, safe, mini fridge.","['Free High Speed Internet (WiFi)', 'Wifi', 'Breakfast available', 'Taxi service', '24-hour security', 'Baggage storage', '24-hour check-in', '24-hour front desk', 'Breakfast buffet', 'Complimentary instant cofffee', 'Vending machine', 'Non-smoking hotel', 'Shared lounge / TV area', 'Express check-in / check-out', 'Air conditioning', 'Housekeeping', 'Interconnected rooms available', 'Safe', 'Coffee / tea maker', 'Refrigerator', 'Flatscreen TV', 'Walk-in shower', 'Telephone', 'Wardrobe / wardrobe', 'Clothes rack', 'Iron', 'Private bathrooms', 'Electric kettle', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms']",4.0,4.5,4.5,4.0,4.0,931,1488,348,101,64
6,"1 Lancaster Gate, London W2 3LG England",585,"Corus Hyde Park is a 4 star, 389 air conditioned bedroom hotel for business and leisure guests and is in a spacious location overlooking Hyde Park. Corus is 50 metres from Lancaster Gate tube on the central line, only 8 minutes walk to Paddington station and the Heathrow Express and 15 minutes walk to Oxford Street, Kensington, Notting Hill, Albert Hall and so close to all the major attractions including the new Westfield shopping centre and the Paddington Basin. The hotel features 4 meeting rooms up to 90 guests, free powerful WiFi in all areas, a fitness studio, large air conditioned lounge with an all day menu. The hotel has three restaurant concepts - seasonal and quality British dishes, an authentic Malaysian menu and Bel Canto Opera dining where opera students act as waiters and sing a wide range of Operatic classics whilst you dine.","['Free High Speed Internet (WiFi)', 'Bar / lounge', 'Car hire', 'Business Centre with Internet Access', 'Conference facilities', 'Baggage storage', 'Concierge', '24-hour front desk', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Complimentary instant cofffee', 'Complimentary tea', 'Snack bar', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Newspaper', 'Non-smoking hotel', 'ATM on site', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'VIP room facilities', 'Flatscreen TV', 'Non-smoking rooms']",3.5,4.5,4.0,4.0,3.5,1174,1855,1251,587,328
7,"4 Norwich Street, London EC4A 1DR England",71,"The Chronicle aparthotel sits at the heart of the City of London, just a 5-minute walk from Chancery Lane tube station . A stone’s throw from the historic River Thames and in the midst of London’s top law firms, The Chronicle boasts 53 luxury apartments, two floors of offices and an onsite bar/restaurant.","['Free High Speed Internet (WiFi)', 'Wifi', 'Fitness Centre with Gym / Workout Room', 'Complimentary instant cofffee', 'Laundry service', 'Safe', 'Kitchenette', 'Refrigerator', 'Kitchenware', 'Non-smoking rooms']",4.5,5.0,5.0,5.0,4.5,48,8,1,0,3
8,"40 Marsh Wall, London E14 9TP England",211,"Novotel London Canary Wharf is a new stylish and innovative 39 storey hotel overlooking river Thames. Perfect for meetings and travel, both business and leisure, the hotel is a few minutes' walk from Canary Wharf tube station, so the whole of the capital is just a short ride away. Choose from three breath-taking options for food and drink at BOKAN: our 2 AA Rosettes restaurant, bar and roof terrace, all with ultra-modern styling and amazing views of London. Immerse yourself in designer style in one of 313 bedrooms, including 26 suites - and pick the perfect space for your event, from nine fully equipped meeting rooms. Add free Wi-Fi throughout, a state-of-the-art gym and a pool to the mix, for a stunning new Docklands hotel that offers all you need and so much more. We've been awarded AA four Silver stars, the first Novotel ever to achieve this recognition.","['Free High Speed Internet (WiFi)', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Taxi service', 'Business Centre with Internet Access', 'Wifi', 'Indoor pool', 'Heated pool', 'Fitness / spa changing rooms', 'Sauna', 'Restaurant', 'Breakfast buffet', 'Complimentary instant cofffee', 'Rooftop bar', 'Kids club', 'Conference facilities', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Rooftop terrace', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Air conditioning', 'Room service', 'Safe', 'VIP room facilities', 'Wake-up service / alarm clock', 'Minibar', 'Flatscreen TV', 'Non-smoking rooms', 'Suites']",4.5,4.5,4.5,4.5,4.0,914,309,108,52,29
9,"42, Adler Street, London E1 1EE England",216,"Qbic Hotel London is a new concept design hotel... and the greenest hotel in London! Located close to bustling Brick Lane and the trendy bars, art galleries and boutiques of Shoreditch, Qbic offers an off-the-charts experience for urban explorers who are hungry for new and unique experiences. Green credentials, quirky style and sociability are the revolutionary values at the heart of Qbic, that set it apart from all other hotels. Our bedrooms are futuristic in design, featuring a unique, all-in-one, cube-shaped pod called 'Qbi', which includes the bed and the bathroom. The Qbi is sustainably built, features Super-King beds with ridiculously comfy organic handmade hypoallergenic mattresses, an integrated 32"" LCD TV, reading/mood lighting, UK/EU and USB sockets, hairdryers, and a laptop safe. All our en-suite bathrooms have a powerful rain shower with water-saving technology, a steam-free mirror and luxurious organic toiletries. Bespoke, handmade furniture and locally sourced fixtures and fittings also add personality: no two of our quirky rooms are the same! Complimentary premium tea and coffee is offered on floors 1 to 4. Don't say we don't love you! At Qbic, a special attention is given to eco-friendly initiatives (such as solar panels on the roof, strong focus on all things recycling and energy-saving, organic toiletries, etc.) and to supporting the local community, while our calendar of monthly events in the hotel lounge feed our guests' creative hunger and attract the best of the local crowd too. Our in-house bar and restaurant offers great breakfast options for all tastes, as well as a modern all-day food & snacks menu, made from locally and sustainably sourced ingredients. Our free and super-fast Wi-Fi throughout the whole building makes the Qbic lobby the perfect place to eat, drink, work and/or socialise. Other amenities include #QbicRecommends - our very own curated insiders' guide to London, updated weekly and connecting our guests with the city's best events and most inspiring places - a private secure gated car park with electric car charging points, recycled bikes for our guests to borrow (to enjoy the full East London experience!), luggage storage, a 24-hour front desk and express check-in/out. By focussing on delivering exceptionally well on the essentials, plus a whole load of cool extras and none of the stuffy frills typical of the previous generation hotels, at Qbic we pride ourselves in offering an incredibly personal experience to our guests and great value for money. Come sleep with us!","['Electric vehicle charging station', 'Free High Speed Internet (WiFi)', 'Bar / lounge', 'Bicycle rental', 'Highchairs available', 'Taxi service', '24-hour security', 'Baggage storage', 'Parking', 'Wifi', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Vending machine', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Air conditioning', 'Desk', 'Housekeeping', 'Safe', 'Flatscreen TV', 'Sofa bed', 'Bath / shower', 'Complimentary toiletries', 'Clothes rack', 'Laptop safe', 'Hair dryer', 'Non-smoking rooms', 'Family rooms']",4.5,4.5,4.5,4.5,4.5,2757,1610,347,80,68
10,"Scarsdale Place Kensington - W8 5SY Kensington, London W8 5SR England",573,"The Copthorne Tara Hotel offers the ideal location to stay in London whether you are travelling on business or leisure. Whilst it is easily accessible from the M4 with Heathrow Airport only 30 minutes drive, Olympia Exhibition Centre is only a 5-minute journey by car, and the Westfield Shopping centre just 10 minutes away.","['Paid private parking on-site', 'Free internet', 'Fitness Centre with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Centre with Internet Access', 'Conference facilities', '24-hour security', 'Parking', 'Wifi', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Special diet menus', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Currency exchange', 'Gift shop', 'Non-smoking hotel', 'ATM on site', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'VIP room facilities', 'Refrigerator', 'Flatscreen TV', 'Non-smoking rooms', 'Suites']",3.5,4.5,4.0,4.0,3.5,1839,3081,1993,717,444
