hotel_id,hotel_name,n_comment,n_star,url,Price
1,SponsoredLondon House Hotel,2932,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d243430-Reviews-London_House_Hotel-London_England.html,£102
2,Park Plaza Westminster Bridge London,22196,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1657415-Reviews-Park_Plaza_Westminster_Bridge_London-London_England.html,£173
3,The Tower Hotel,10414,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193097-Reviews-The_Tower_Hotel-London_England.html,£141
4,K+K Hotel George,4862,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d195217-Reviews-K_K_Hotel_George-London_England.html,£186
5,London House Hotel,2932,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d243430-Reviews-London_House_Hotel-London_England.html,£102
6,"Corus Hyde Park Hotel, Sure Hotel Collection by Best Western",5189,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d195279-Reviews-Corus_Hyde_Park_Hotel_Sure_Hotel_Collection_by_Best_Western-London_England.html,£109
7,SponsoredThe Chronicle by Supercity Aparthotels,60,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d15145187-Reviews-The_Chronicle_by_Supercity_Aparthotels-London_England.html,£163
8,Novotel London Canary Wharf,1412,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d11621939-Reviews-Novotel_London_Canary_Wharf-London_England.html,£210
9,Qbic Hotel London City,4862,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d4945399-Reviews-Qbic_Hotel_London_City-London_England.html,£61
10,Copthorne Tara Hotel London Kensington,8074,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193138-Reviews-Copthorne_Tara_Hotel_London_Kensington-London_England.html,£78
11,Holiday Inn London - West,1190,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d313125-Reviews-Holiday_Inn_London_West-London_England.html,£86
12,citizenM Tower of London Hotel,3750,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d10410272-Reviews-CitizenM_Tower_of_London_Hotel-London_England.html,£99
13,Staybridge Suites London - Vauxhall,1208,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d6787576-Reviews-Staybridge_Suites_London_Vauxhall-London_England.html,£128
14,Novotel London Excel,2839,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d291617-Reviews-Novotel_London_Excel-London_England.html,£114
15,Studios2Let Serviced Apartments - Cartwright Gardens,3048,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1924847-Reviews-Studios2Let_Serviced_Apartments_Cartwright_Gardens-London_England.html,£78
16,Hard Rock Hotel London,597,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d17351423-Reviews-Hard_Rock_Hotel_London-London_England.html,£130
17,Dorsett City London,643,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d12437245-Reviews-Dorsett_City_London-London_England.html,£134
18,The W14 Kensington,1847,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d577546-Reviews-The_W14_Kensington-London_England.html,£59
19,St. Athans Hotel,820,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d628205-Reviews-St_Athans_Hotel-London_England.html,£92
20,Holiday Inn London - Kensington High Street,1807,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d195280-Reviews-Holiday_Inn_London_Kensington_High_Street-London_England.html,£102
